category, name, film, winner, 
SHORT SUBJECT (Novelty), "Pete Smith,  Producer", Menu, False, 
SHORT SUBJECT (Novelty), Educational, The Sea, False, 
SOUND RECORDING, "Paramount Studio Sound Department,  Franklin B. Hansen,  Sound Director", A Farewell to Arms, True, 
SOUND RECORDING, "Warner Bros. Studio Sound Department,  Nathan Levinson,  Sound Director", 42nd Street, False, 
SOUND RECORDING, "Warner Bros. Studio Sound Department,  Nathan Levinson,  Sound Director", Gold Diggers of 1933, False, 
SOUND RECORDING, "Warner Bros. Studio Sound Department,  Nathan Levinson,  Sound Director", I Am a Fugitive from a Chain Gang, False, 
WRITING (Adaptation), Robert Riskin, Lady for a Day, False, 
WRITING (Adaptation), "Victor Heerman,  Sarah Y. Mason", Little Women, True, 
WRITING (Adaptation), "Paul Green,  Sonya Levien", State Fair, False, 
WRITING (Original Story), Robert Lord, One Way Passage, True, 
WRITING (Original Story), Frances Marion, The Prizefighter and the Lady, False, 
WRITING (Original Story), Charles MacArthur, Rasputin and the Empress, False, 
ACTOR, Clark Gable, It Happened One Night, True, 
ACTOR, Frank Morgan, The Affairs of Cellini, False, 
ACTOR, William Powell, The Thin Man, False, 
ACTRESS, Claudette Colbert, It Happened One Night, True, 
ACTRESS, Bette Davis, Of Human Bondage, False, 
ACTRESS, Grace Moore, One Night of Love, False, 
ACTRESS, Norma Shearer, The Barretts of Wimpole Street, False, 
ART DIRECTION, Richard Day, The Affairs of Cellini, False, 
ART DIRECTION, "Van Nest Polglase,  Carroll Clark", The Gay Divorcee, False, 
ART DIRECTION, "Cedric Gibbons,  Fredric Hope", The Merry Widow, True, 
ASSISTANT DIRECTOR, Cullen Tate, Cleopatra, False, 
ASSISTANT DIRECTOR, Scott Beal, Imitation of Life, False, 
ASSISTANT DIRECTOR, John Waters, Viva Villa!, True, 
CINEMATOGRAPHY, Charles Rosher, The Affairs of Cellini, False, 
CINEMATOGRAPHY, Victor Milner, Cleopatra, True, 
CINEMATOGRAPHY, George Folsey, Operator 13, False, 
DIRECTING, Frank Capra, It Happened One Night, True, 
DIRECTING, Victor Schertzinger, One Night of Love, False, 
DIRECTING, W. S. Van Dyke, The Thin Man, False, 
FILM EDITING, Anne Bauchens, Cleopatra, False, 
FILM EDITING, Conrad Nervig, Eskimo, True, 
FILM EDITING, Gene Milford, One Night of Love, False, 
MUSIC (Scoring), "RKO Radio Studio Music Department,  Max Steiner,  head of department  (Score by Kenneth Webb and Samuel Hoffenstein)", The Gay Divorcee, False, 
MUSIC (Scoring), "RKO Radio Studio Music Department,  Max Steiner,  head of department  (Score by Max Steiner)", The Lost Patrol, False, 
MUSIC (Scoring), "Columbia Studio Music Department,  Louis Silvers,  head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)", One Night of Love, True, 
MUSIC (Song), Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn, Flying Down to Rio, False, 
MUSIC (Song), Music by Con Conrad; Lyrics by Herb Magidson, The Gay Divorcee, True, 
MUSIC (Song), Music by Ralph Rainger; Lyrics by Leo Robin, She Loves Me Not, False, 
OUTSTANDING PRODUCTION, Metro-Goldwyn-Mayer, The Barretts of Wimpole Street, False, 
OUTSTANDING PRODUCTION, Paramount, Cleopatra, False, 
OUTSTANDING PRODUCTION, First National, Flirtation Walk, False, 
OUTSTANDING PRODUCTION, RKO Radio, The Gay Divorcee, False, 
OUTSTANDING PRODUCTION, Warner Bros., Here Comes the Navy, False, 
OUTSTANDING PRODUCTION, 20th Century, The House of Rothschild, False, 
OUTSTANDING PRODUCTION, Universal, Imitation of Life, False, 
OUTSTANDING PRODUCTION, Columbia, It Happened One Night, True, 
OUTSTANDING PRODUCTION, Columbia, One Night of Love, False, 
OUTSTANDING PRODUCTION, Metro-Goldwyn-Mayer, The Thin Man, False, 
OUTSTANDING PRODUCTION, Metro-Goldwyn-Mayer, Viva Villa!, False, 
OUTSTANDING PRODUCTION, Jesse L. Lasky (production company), The White Parade, False, 
SHORT SUBJECT (Cartoon), "Charles Mintz,  Producer", Holiday Land, False, 
SHORT SUBJECT (Cartoon), "Walter Lantz,  Producer", Jolly Little Elves, False, 
SHORT SUBJECT (Cartoon), "Walt Disney,  Producer", The Tortoise and the Hare, True, 
SHORT SUBJECT (Comedy), "Kenneth Macgowan,  Producer", La Cucaracha, True, 
SHORT SUBJECT (Comedy), "Jules White,  Producer", Men in Black, False, 
SHORT SUBJECT (Comedy), Warner Bros., "What,  No Men!", False, 
SHORT SUBJECT (Novelty), Skibo Productions, Bosom Friends, False, 
SHORT SUBJECT (Novelty), "Stacy Woodard and Horace Woodard,  Producers", City of Wax, True, 
SHORT SUBJECT (Novelty), "Pete Smith,  Producer", Strikes and Spares, False, 
SOUND RECORDING, "United Artists Studio Sound Department,  Thomas T. Moulton,  Sound Director", The Affairs of Cellini, False, 
SOUND RECORDING, "Paramount Studio Sound Department,  Franklin B. Hansen,  Sound Director", Cleopatra, False, 
SOUND RECORDING, "Warner Bros.-First National Studio Sound Department,  Nathan Levinson,  Sound Director", Flirtation Walk, False, 
SOUND RECORDING, "RKO Radio Studio Sound Department,  Carl Dreher,  Sound Director", The Gay Divorcee, False, 
SOUND RECORDING, "Universal Studio Sound Department,  Theodore Soderberg,  Sound Director", Imitation of Life, False, 
SOUND RECORDING, "Columbia Studio Sound Department,  John Livadary,  Sound Director", One Night of Love, True, 
SOUND RECORDING, "Metro-Goldwyn-Mayer Studio Sound Department,  Douglas Shearer,  Sound Director", Viva Villa!, False, 
SOUND RECORDING, "Fox Studio Sound Department,  E. H. Hansen,  Sound Director", The White Parade, False, 
WRITING (Adaptation), Robert Riskin, It Happened One Night, True, 
WRITING (Adaptation), "Frances Goodrich,  Albert Hackett", The Thin Man, False, 
WRITING (Adaptation), Ben Hecht, Viva Villa!, False, 
WRITING (Original Story), Mauri Grashin, Hide-Out, False, 
WRITING (Original Story), Arthur Caesar, Manhattan Melodrama, True, 
WRITING (Original Story), Norman Krasna, The Richest Girl in the World, False, 
SPECIAL AWARD,  Shirley Temple, , True, 
ACTOR, Clark Gable, Mutiny on the Bounty, False, 
ACTOR, Charles Laughton, Mutiny on the Bounty, False, 
ACTOR, Victor McLaglen, The Informer, True, 
ACTOR, Paul Muni, Black Fury, False, 
ACTOR, Franchot Tone, Mutiny on the Bounty, False, 
ACTRESS, Elisabeth Bergner, Escape Me Never, False, 
ACTRESS, Claudette Colbert, Private Worlds, False, 
ACTRESS, Bette Davis, Dangerous, True, 
ACTRESS, Katharine Hepburn, Alice Adams, False, 
ACTRESS, Miriam Hopkins, Becky Sharp, False, 
ACTRESS, Merle Oberon, The Dark Angel, False, 
ART DIRECTION, Richard Day, The Dark Angel, True, 
ART DIRECTION, "Hans Dreier,  Roland Anderson", The Lives of a Bengal Lancer, False, 
ART DIRECTION, "Van Nest Polglase,  Carroll Clark", Top Hat, False, 
ASSISTANT DIRECTOR, Joseph Newman, David Copperfield, False, 
ASSISTANT DIRECTOR, Eric Stacey, Les Miserables, False, 
ASSISTANT DIRECTOR, "Clem Beauchamp,  Paul Wing", The Lives of a Bengal Lancer, True, 
ASSISTANT DIRECTOR, Sherry Shourds, A Midsummer Night's Dream, False, 
CINEMATOGRAPHY, Ray June, Barbary Coast, False, 
CINEMATOGRAPHY, Victor Milner, The Crusades, False, 
CINEMATOGRAPHY, Gregg Toland, Les Miserables, False, 
CINEMATOGRAPHY, Hal Mohr, A Midsummer Night's Dream, True, 
DANCE DIRECTION, Busby Berkeley, Gold Diggers of 1935, False, 
DANCE DIRECTION, Bobby Connolly, Go into Your Dance;, False, 
DANCE DIRECTION, Dave Gould, Broadway Melody of 1936;, True, 
DANCE DIRECTION, Sammy Lee, King of Burlesque, False, 
DANCE DIRECTION, Hermes Pan, Top Hat, False, 
DANCE DIRECTION, LeRoy Prinz, Big Broadcast of 1936;, False, 
DANCE DIRECTION, Benjamin Zemach, She, False, 
DIRECTING, Michael Curtiz, Captain Blood, False, 
DIRECTING, John Ford, The Informer, True, 
DIRECTING, Henry Hathaway, The Lives of a Bengal Lancer, False, 
DIRECTING, Frank Lloyd, Mutiny on the Bounty, False, 
FILM EDITING, Robert J. Kern, David Copperfield, False, 
FILM EDITING, George Hively, The Informer, False, 
FILM EDITING, Barbara McLean, Les Miserables, False, 
